RECORD ID,PUBLICATION DATE,DETECTION DATE,CONTENT TYPE,MANIPULATION METHOD,LABEL BINARY,VERACITY CLEAN,TOPIC,PLATFORM,GEOGRAPHICAL REGION,DETECTION LAG (DAYS),DETECTION SPEED,AI_PRIORITY,AI_RECOMMENDED_ACTION,AI_RISK_FACTOR,,AI Priority Summary,,,,,,
DMD-00011,8/25/2019,9/22/2019,multimodal,Video+Audio-Sync-Fake,1,true,Health/Medical,Facebook,East Asia,28,Fast,High,Remove immediately — multimodal health deepfakes require cross-team escalation to both video and audio detection units.,Synchronised video+audio fakes are highly convincing and particularly dangerous in health contexts where trust in the speaker drives behaviour change.,,,,,,,,
DMD-00012,3/23/2019,6/23/2019,multimodal,Authentic,0,false,Health/Medical,YouTube,Europe,92,Slow,Low,"Close case — authentic content, no enforcement action required.",Authentic health content misclassified as fake risks over-enforcement and erosion of creator trust.,,,,,,,,
DMD-00013,8/6/2022,12/15/2022,multimodal,Image+Caption-Mismatch,1,half-true,Politics,TikTok,South Asia,131,Slow,High,Remove and audit caption-image matching detection capability on TikTok for South Asia political content.,Caption mismatches on political content in South Asia are a known election interference vector — 131-day lag is unacceptable.,,,,,,,,
DMD-00014,9/25/2020,3/15/2021,audio,TTS-Neural,1,half-true,Entertainment,TikTok,Southeast Asia,171,Slow,Medium,Remove content and flag TTS-Neural audio pattern for automated detection improvement on TikTok.,Neural text-to-speech fakes are nearly indistinguishable to human reviewers — 171-day lag signals tooling gap.,,,,,,,,
DMD-00015,6/19/2023,8/2/2023,image,Authentic,0,false,Health/Medical,Twitter/X,Europe,44,Medium,Low,"Close case — authentic content confirmed, no action needed.",Over-flagging authentic health content damages platform credibility with medical professionals.,,,,,,,,
DMD-00016,5/14/2023,8/31/2023,text,Authentic,0,half-true,Sports,Telegram,East Asia,109,Slow,Low,"Close case — authentic content, no enforcement action required.",Authentic sports content on Telegram with long detection lag suggests over-sensitive text detection models needing recalibration.,,,,,,,,
DMD-00017,7/10/2021,9/15/2021,video,DeepFaceLab,1,half-true,War/Conflict,News Website,North America,67,Medium,High,Remove and notify news website editorial team — escalate to war/conflict misinformation task force.,DeepFaceLab war/conflict content on news platforms carries highest credibility risk as audiences trust news sources implicitly.,,,,,,,,
DMD-00018,9/3/2020,12/12/2020,image,Authentic,0,mostly-false,Politics,Twitter/X,Middle East,100,Slow,Low,"Close case — authentic content, no removal needed.",Authentic political content in the Middle East with 100-day detection lag suggests regional detection models flagging too broadly.,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,PROMPT TEMPLATE
,,,,,,,,,,,,,,,,,,,,,,"You are a Trust & Safety policy analyst reviewing deepfake misinformation cases. 

Analyse this case and respond in exactly this format:
PRIORITY: [High/Medium/Low]
ACTION: [one sentence recommended action]
RISK: [one sentence key risk factor]

Case details:
Content Type: [CONTENT_TYPE]
Manipulation: [MANIPULATION_METHOD]
Topic: [TOPIC]
Platform: [PLATFORM]
Region: [GEOGRAPHICAL_REGION]
Veracity: [VERACITY_CLEAN]
Detection Lag: [DETECTION_LAG] days"
